"May 2020 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","245","","","","","","","","",""
"Retired","141","","","","","","","","",""
"Rename","106","","","","","","","","",""
"Move","61","","","","","","","","",""
"Move & Rename","26","","","","","","","","",""
"Total","579","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","","Unthreaded Spacers","","","","183943","",""
"","","","","Standoff & Spacer Mixed Sets","","","","183944","",""
"","","","Threaded Inserts","","","","","183945","",""
"","","","Threaded Rods & Threaded Studs","","","","","183940","",""
"","","","Other Fasteners & Hardware","","","","","42905","",""
"","+","Fuel & Energy","","","","","","159693","",""
"","-","Healthcare, Lab & Dental","","","","","","11815","",""
"","","+","Handpieces & Instruments","","","","","185155","",""
"","","-","Medical & Lab Equipment, Devices","","","","","184520","",""
"","","","","Absorbance Detectors","","","","185172","",""
"","","","","Acoustic/Traditional Stethoscopes","","","","185173","",""
"","","","","AED Trainers & Training Pads","","","","185174","",""
"","","","","Aesthetic & Cosmetic Machines","","","","184527","",""
"","","","","Anesthesia Machines","","","","184525","",""
"","","","","Autoclaves & Sterilizers","","","","48722","",""
"","","","","Autorefractors, Keratometers & Tonometers","","","","185176","",""
"","","","","Autosamplers","","","","185177","",""
"","","","","Bioreactors & Fermenters","","","","185178","",""
"","","","","Blood/Hematology Analyzers","","","","185179","",""
"","","","","Blood Cell Counters","","","","185180","",""
"","","","","Blood/Fluid Warming Systems","","","","184536","",""
"","","","","Blood Pressure Machines & Monitors","","","","100004","",""
"","","","","Bone Densitometers","","","","184538","",""
"","","","","CAD/CAM Acquisition Scanners & Milling Machines","","","","185181","",""
"","","","","Centrifuges","","","","26232","",""
"","","","","Chiropractic Activators/Adjusting Tools","","","","185182","",""
"","","","","Chromatography Systems","","","","185183","",""
"","","","","Colposcopes","","","","185184","",""
"","","","","Continuous Passive Motion (CPM) Machines","","","","185185","",""
"","","","","Corneal Topographers","","","","185186","",""
"","","","","Defibrillators, AED Pads & Batteries","","","","100011","",""
"","","","","Density Meters/Densometers","","","","185187","",""
"","","","","Dental Air Compressors & Vacuum Systems","","","","185188","",""
